number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
0,0.2808302640568059,0.85,1.0,0.1,0.05,3,1.0,500,0.0001,1.0,20,0.9,0.85,37.72228575000008,0.16094548657958715,0.2808302640568059,4421.235719314899,0.21674691632664975,0.4836537497344986,8053.904683566445,0.9192551691140836,0.2563333909206247,1.0330624599383327,COMPLETE
1,0.27596415194805696,0.9,0.36,0.7,0.03,4,0.5,800,1e-05,0.3,11,0.83,0.9,49.87016229200003,0.16056090200365777,0.27596415194805696,4361.77072525738,0.21360523925985744,0.49851381432299613,7937.165917122547,0.9676398839717835,0.24943565075279797,1.0065635362973677,COMPLETE
2,0.2791430875637191,0.5101537197345953,1.7541346645212776,0.4231380536632351,0.17681300513212714,4,2.012701405986034,752,3.644652482792098e-05,26.03058711556135,22,1.0322213875194863,0.903411663656835,53.556945749999954,0.16029580026012002,0.2791430875637191,4431.719325318867,0.21605649608153568,0.4869380236157881,8028.249975578013,0.8699052280540343,0.25234636592873366,1.0103842553011526,COMPLETE
3,0.2930553426980048,0.7131021406343739,0.7899784047141699,0.4475844222537138,0.07143279630406682,6,0.5799394006124057,1093,0.00036075238942410927,13.151745255049628,30,1.125449178202187,0.9272810084847992,164.54067491699993,0.17394821773578467,0.2930553426980048,4784.718389643818,0.2282053549154481,0.42761685744620626,8479.678548222506,0.8964362110811065,0.25939995113022674,1.0427112540164014,COMPLETE
4,0.28529329561069083,0.46190385238702564,0.42547866177727733,0.2981539122032387,0.031472129490909696,4,2.942812956611264,244,0.3320354171981087,1.503639980987409,30,1.130335779337884,0.7034215894241039,40.00530083299998,0.16385653738047773,0.28529329561069083,4498.72643038646,0.22033746692827555,0.4664048453844932,8187.322739966543,0.9203038400614739,0.2598233147296612,1.0466012632075363,COMPLETE
5,0.28039606187401095,0.4685405419424807,0.325809438161915,0.4347034430404555,0.029222957652901334,5,0.654533252884089,465,0.17224100572176346,0.0760879983147087,10,0.8473299663627378,0.6730559746322679,37.14403633400002,0.15942289693071474,0.28039606187401095,4421.2022821926685,0.21630296591567919,0.48576678896298264,8037.4083275638595,0.9361792725193107,0.256372383833327,1.0298685492352038,COMPLETE
6,0.2828377244932755,0.5284843155722522,1.0946345278334146,0.6287838150293461,0.022216320269086976,3,2.0956110642565635,509,6.229214449152028e-06,0.6549011128488195,24,1.1297039860760172,0.80661873140401,38.523473124999896,0.16006259562062622,0.2828377244932755,4403.213663005557,0.2178686677877168,0.47829532529096896,8095.586842183502,0.9030526627247633,0.2598762268222348,1.0452342278545166,COMPLETE
7,0.30680674896671356,0.5419509151051711,1.3936367120404827,0.5830064493666736,0.026287193784865475,2,0.30818860485044414,264,0.0009188610205591764,19.93596046987143,16,0.9049725051969755,0.6594484165871501,22.123754167000016,0.17210327856337065,0.30680674896671356,4991.1525742543,0.2368041322151254,0.383669406776448,8799.1928183238,0.46018590109313307,0.2800104670063527,1.1145448957097677,COMPLETE
8,0.28637225117925336,0.4842821478352174,1.2759202394106268,0.6629370237759182,0.04437430121379882,5,3.8330978305221253,592,1.192727954368058e-06,0.01113877359577184,16,0.7534553065551853,0.7444506727469881,47.2911782499998,0.16370037099915072,0.28637225117925336,4511.132400950716,0.2208536053423018,0.46390203429107224,8206.501465369169,0.907362854590008,0.26207458334780626,1.0567880086313706,COMPLETE
9,0.281842441607772,0.4126131881725957,1.486431435864482,0.45399415041463154,0.034316545363493184,5,0.7673535139298574,593,0.011615402047821115,0.5740186338756653,26,0.821423458768402,0.9928912896472828,70.62931674999982,0.16353488576165517,0.281842441607772,4477.886725971309,0.21813500734523622,0.47701900111255346,8105.48351543763,0.9307822364779911,0.25482973705014317,1.026886294162974,COMPLETE
10,0.2917202238113775,0.9079162984049027,1.270372089820081,0.5896418084062283,0.02451535922520632,6,2.7183629280711386,501,0.05455678579102522,2.8367122121604833,29,0.7165300526154208,0.9733122105644979,109.64031654100017,0.1751588746472366,0.2917202238113775,4843.05410770669,0.22788753881735624,0.4292100356993318,8467.869104266785,0.9787254166890034,0.255330739976085,1.0250533888378723,COMPLETE
11,0.2764015153037408,0.7406016396526415,1.333761831990786,0.14225451474630063,0.015125570536383201,3,0.1793522910128987,607,0.8782834980356521,0.04802391368168541,11,0.7978701268883637,0.8851609042581579,32.28860766599996,0.15688668295125324,0.2764015153037408,4348.4746752583305,0.21305259131385543,0.5011053873644893,7916.6305666958715,0.8390815853742342,0.2533956959595415,1.0190841696384887,COMPLETE
12,0.2907348143646219,0.8296965215361503,1.3689622025686385,0.24030212330313644,0.05010395899911748,6,1.0943330267885385,233,0.2836463359135307,1.996740471745755,14,1.120089966435645,0.7184465008263211,36.38630441700002,0.17258002154954072,0.2907348143646219,4722.00600248558,0.2264975009987927,0.43615205493953935,8416.217932997564,1.0,0.2569492534633168,1.031610527045246,COMPLETE
13,0.2890779698093938,0.9682624065236451,1.6780070341189668,0.5269841662623533,0.016483972798629183,4,0.2408584719032223,476,0.18650211692173685,0.012388798808428476,23,1.0699383769576034,0.7858719614183703,53.099052249999886,0.1706750308649229,0.2890779698093938,4712.690859385059,0.22447858610622026,0.4461591194242236,8341.198881356218,1.0,0.2583975348126943,1.0431696408103932,COMPLETE
14,0.2775788741418583,0.43281799994386194,1.2903284951238208,0.1157196055195172,0.031926282953907044,4,0.16295424914088455,484,0.004009185521788147,0.14278802245977804,24,1.025753470746726,0.9727008904237721,47.06934237500013,0.15924300393775728,0.2775788741418583,4362.074372125409,0.21406323917566764,0.4963609938628436,7954.184326101698,0.9066455785077897,0.2540625398647626,1.0267007537762354,COMPLETE
